Rank,Strategy,Combined_Score,Median_Monthly_%,Positive_Months_%,Total_Return_x,Benchmark_x,Outperformance_%,CAGR_%,MDD_%,Sharpe
114,SMA31_RSI30_85,0.0,0.0,46.31578947368421,25.608643754458843,252.02972995313297,-884.1588346874124,51.551141895747165,-35.567373738127515,1.1739978439620968
115,SMA31_RSI35_70,0.0,0.0,46.31578947368421,2.6562961055908048,252.02972995313297,-9388.013381590881,13.342677190367702,-40.651512497568476,0.4174489902368825
116,SMA31_RSI35_75,0.0,0.0,43.15789473684211,4.926689194884787,252.02972995313297,-5015.600355200138,22.683897789572114,-37.20276996487051,0.7069472761043281
117,SMA31_RSI35_80,0.0,0.0,49.473684210526315,14.716846976061936,252.02972995313297,-1612.5253144445842,41.16180900414468,-36.96338386456141,1.0641285387049229
118,SMA31_RSI35_85,0.0,0.0,46.31578947368421,24.798462353932056,252.02972995313297,-916.3119243285302,50.927808746200974,-35.206386935879564,1.1625639976978062
119,SMA31_RSI40_70,0.0,0.0,48.421052631578945,2.7328592080108445,252.02972995313297,-9122.19956353247,13.756334386169765,-37.71758921712359,0.43305374746707304
120,SMA31_RSI40_75,0.0,0.0,43.15789473684211,5.068692418330294,252.02972995313297,-4872.282970686855,23.13164684921769,-34.598262596020504,0.7238962628841702
121,SMA31_RSI40_85,0.0,0.0,46.31578947368421,25.51323478049523,252.02972995313297,-887.8391827672465,51.47863722213011,-35.517532136144105,1.1791969308072998
122,SMA31_RSI45_75,0.0,0.0,46.31578947368421,5.255716205042323,252.02972995313297,-4695.345108461834,23.70495183579362,-38.600555305370925,0.7389172428903388
123,SMA31_RSI45_85,0.0,0.0,48.421052631578945,26.454617959057277,252.02972995313297,-852.6870898048463,52.183926725693055,-36.18707447499108,1.1976146805013796
124,SMA32_RSI30_70,0.0,0.0,45.26315789473684,1.793235741015344,252.02972995313297,-13954.467250938897,7.774754669757478,-45.65482103338708,0.28672901277292856
125,SMA32_RSI30_75,0.0,-0.08768636580077649,41.05263157894737,3.3259526792012113,252.02972995313297,-7477.670347783257,16.65709081490099,-41.24348461041352,0.5816930263588156
126,SMA32_RSI30_80,0.0,0.0,47.368421052631575,9.9351785130363,252.02972995313297,-2436.740830800733,34.227280590949064,-40.91647239326443,0.9494171522781019
127,SMA32_RSI30_85,0.0,0.0,44.21052631578947,16.74116410504752,252.02972995313297,-1405.4492529414074,43.51352874033088,-41.46517763865063,1.051937174009085
128,SMA32_RSI35_70,0.0,0.0,45.26315789473684,1.7365030901939746,252.02972995313297,-14413.635557364898,7.331474754941114,-45.65482103338708,0.2716832115921575
