Rank,Strategy,Return_x,Benchmark_x,Gap_%,CAGR_%,MDD_%,Sharpe
122,Price>2%_SMA30+ROC15>0,113.54742994584117,252.02972995313297,-54.94681124843635,83.43391963112995,-40.79888996206158,1.5475848189525065
123,Trend_SMA30+ROC20>5%,112.80893483785808,252.02972995313297,-55.23983029349917,83.28053486391444,-42.58389398683848,1.4836715216885599
124,EMA12>SMA28+ROC20>0,112.47056719866156,252.02972995313297,-55.37408732708779,83.20996358952087,-54.17663328863348,1.4293024148653934
125,DualMom_ROC5&25+SMA30,112.30638278858027,252.02972995313297,-55.43923218524078,83.17565392975716,-33.332541644108716,1.5841913444535363
126,Trend_SMA32+ROC12>0%,111.21072612841127,252.02972995313297,-55.87396528612246,82.94556813235647,-41.21048422338915,1.5537886515188726
127,DualMom_ROC15&25+SMA30,110.53662165143048,252.02972995313297,-56.141435507634085,82.80302361062846,-35.808854328338455,1.5648419927956012
128,Trend_SMA28+ROC12>3%,110.15587501459964,252.02972995313297,-56.29250762000021,82.72217658796512,-38.83364622171159,1.602588879625441
129,Trend_SMA30+ROC12>2%,110.14111970362036,252.02972995313297,-56.29836221143354,82.71903857237571,-38.36756048015542,1.5351213026084531
130,Price>SMA20,109.87071676663827,252.02972995313297,-56.40565230654746,82.66146691648113,-55.58628529439167,1.483819243162549
131,DualMom_ROC15&30+SMA30,109.74024768852256,252.02972995313297,-56.457419642940664,82.63364447354446,-38.28492061892311,1.5949927177531715
132,EMA15>SMA30+ROC20>0,109.67296960071567,252.02972995313297,-56.4841141475213,82.61928619574223,-47.94748925921263,1.4055605738232584
133,DualMom_ROC15&25+SMA32,108.45314034813033,252.02972995313297,-56.96811627410063,82.35761314640484,-35.851229349580194,1.5774177002624188
134,Trend_SMA30+ROC15>2%,108.35529612823152,252.02972995313297,-57.006938765366655,82.33651299505986,-33.43026429069757,1.5276036326171993
135,Price>1%_SMA28+ROC15>0,108.07462243212271,252.02972995313297,-57.11830407776889,82.27589328226597,-36.21260341669089,1.5233115796976735
136,EMA8>SMA28+ROC20>0,106.23393678362274,252.02972995313297,-57.848648727522026,81.87490686885823,-54.94998534109396,1.412007464558855
137,Price>2%_SMA25+ROC15>0,105.88015677361369,252.02972995313297,-57.98902105981585,81.7971440738931,-34.47798492855542,1.5515088418870047
138,Trend_SMA25+ROC12>2%,105.7815539166146,252.02972995313297,-58.02814456203815,81.77543025963914,-46.55515942211308,1.500768512243242
139,Price>1%_SMA35+ROC10>0,105.12027881393485,252.02972995313297,-58.29052436254928,81.62934996748498,-32.99135996192255,1.5858811159534187
140,Trend_SMA32+ROC20>5%,104.75278015986694,252.02972995313297,-58.436339959041106,81.54782027341881,-42.27995816297317,1.4737297285967483
141,Trend_SMA32+ROC12>2%,104.5495286785033,252.02972995313297,-58.51698579451514,81.5026217153717,-36.11593911653241,1.5714726325062125
142,DualMom_ROC5&25+SMA28,104.12979375909038,252.02972995313297,-58.68352762253319,81.40903914752462,-33.33254164410869,1.5886491762284525
143,DualMom_ROC15&30+SMA32,104.08534474069444,252.02972995313297,-58.701164041222455,81.39910970909459,-38.5070183606374,1.5846248625345865
144,EMA10>SMA28+ROC20>0,103.82920888118532,252.02972995313297,-58.80279326550355,81.34181954749376,-55.313371022789916,1.4025946451606675
145,EMA10>SMA25+ROC20>0,101.94902573130086,252.02972995313297,-59.54880967802523,80.91746397879618,-54.45705505000677,1.383192038686747
146,Trend_SMA28+ROC20>5%,101.48691816621806,252.02972995313297,-59.732164064497304,80.8121228585791,-41.807798944755454,1.4558239800435138
147,Trend_SMA25+ROC15>0%,100.99669725065243,252.02972995313297,-59.92667322643499,80.69991498732165,-40.45507378787857,1.4491659138599495
148,Price>0%_SMA25+ROC15>0,100.99669725065243,252.02972995313297,-59.92667322643499,80.69991498732165,-40.45507378787857,1.4491659138599495
149,Trend_SMA35+ROC12>3%,100.84205033369571,252.02972995313297,-59.988033811547496,80.66441895029229,-35.95853322177297,1.6186836499833435
150,Price>2%_SMA25+ROC10>0,100.3567112218061,252.02972995313297,-60.18060597832318,80.55271026809656,-36.146586748226305,1.5605409554820873
151,EMA15>SMA28+ROC20>0,100.28062772894792,252.02972995313297,-60.21079427907337,80.53515573134126,-48.25150924843531,1.401638895393462
152,DualMom_ROC15&20+SMA28,99.90495189488642,252.02972995313297,-60.35985440548439,80.44830648537258,-44.40587625705989,1.4604984524749163
153,EMA12>SMA25+ROC20>0,99.05831031016415,252.02972995313297,-60.69578365671984,80.25153008935604,-54.2021254275874,1.3750531986719245
154,Trend_SMA25+ROC18>2%,98.95227950755107,252.02972995313297,-60.737854408703264,80.2267832015191,-56.46013182217619,1.463479525918449
155,Trend_SMA35+ROC15>2%,98.94694079327128,252.02972995313297,-60.73997269620879,80.22553656973383,-40.52434564052426,1.5091047018724697
156,Price>2%_SMA30+ROC10>0,98.82159092897064,252.02972995313297,-60.78970883818058,80.19624952530961,-38.50056340540831,1.553154693236099
157,Trend_SMA25+ROC20>5%,98.43445296057396,252.02972995313297,-60.94331689405108,80.10559275262499,-41.31059565458369,1.4194248606507343
158,DualMom_ROC15&25+SMA28,98.08160755385157,252.02972995313297,-61.08331839577392,80.02269516555296,-35.368051762766875,1.5322752366211765
159,Trend_SMA35+ROC18>3%,97.15059496034642,252.02972995313297,-61.45272425661354,79.80270820665214,-44.81965403318488,1.5450126420919819
160,EMA8>SMA30+ROC15>0,96.8702174390793,252.02972995313297,-61.563972053180734,79.73609831635318,-34.48059871389676,1.4903586044019776
161,Price>2%_SMA28+ROC15>0,96.7874730614277,252.02972995313297,-61.596803250383935,79.71640843661572,-37.48731188987697,1.5051948024771313
162,EMA10>SMA32+ROC15>0,94.6042944127392,252.02972995313297,-62.4630417886288,79.19152196446457,-36.18506391486452,1.5190875378814037
163,DualMom_ROC15&30+SMA28,93.69486042268124,252.02972995313297,-62.82388572169458,78.96975209840862,-42.49148282579856,1.5153137026180463
164,Price>1%_SMA32+ROC10>0,93.58968534760594,252.02972995313297,-62.86561693931516,78.9439837208717,-41.78135836059244,1.5253411159700008
165,EMA8>SMA32+ROC15>0,93.38704314127547,252.02972995313297,-62.94602102750275,78.89426418682375,-36.18506391486452,1.5117899949850506
166,Price>1%_SMA28+ROC10>0,92.9384578991921,252.02972995313297,-63.12401004576928,78.7838655602268,-36.82266660834711,1.5379193010596124
167,Trend_SMA25+ROC15>3%,92.92384381422163,252.02972995313297,-63.129808601746475,78.78026116808516,-40.166366498794524,1.4623916088907816
168,Price>2%_SMA35+ROC10>0,92.84802699550808,252.02972995313297,-63.159891091906516,78.76155390549715,-37.12905657509757,1.5589494937405233
169,Trend_SMA28+ROC18>3%,92.55552180004734,252.02972995313297,-63.27595088989747,78.68925529410902,-51.155076968493596,1.4906088795241899
170,Trend_SMA35+ROC12>2%,92.26850364245591,252.02972995313297,-63.38983354875871,78.61811903126734,-37.759037235307396,1.5385668609865566
171,DualMom_ROC10&20+SMA32,91.86458131119261,252.02972995313297,-63.55010128040228,78.51768107142642,-45.0964885019208,1.49875763387165
172,Trend_SMA35+ROC20>5%,91.73818294029951,252.02972995313297,-63.60025344733775,78.486172188432,-41.845202668163175,1.4373375683227096
173,Trend_SMA35+ROC12>0%,91.56075084036759,252.02972995313297,-63.67065470514368,78.44187758257655,-46.998653131260305,1.4967178974901296
174,Trend_SMA25+ROC12>0%,91.2324082155619,252.02972995313297,-63.80093402769296,78.35971154534754,-54.063316803790315,1.4083849549820702
175,Price>1%_SMA25+ROC10>0,90.98310001491211,252.02972995313297,-63.89985418314292,78.29715109672237,-42.68140847875935,1.4917184657260947
176,Trend_SMA28+ROC12>2%,90.69311781288691,252.02972995313297,-64.01491291136485,78.22419578120954,-40.88845748830821,1.4780076984437596
177,MA_Slope_SMA32↑+ROC15>0,90.68089217318601,252.02972995313297,-64.01976378340409,78.22111552231634,-31.83034695523495,1.590066059895086
178,EMA15>SMA30+ROC15>0,90.33869780009094,252.02972995313297,-64.1555391830598,78.13475217125165,-35.9973980154028,1.490655605956461
