k,j,total_return,cagr,mdd,sharpe_ratio,win_rate,final_equity
8,19,44.749509498439494,0.5966836593748654,-0.8194579338846855,1.1557934506081704,0.5123853211009174,44.749509498439494
8,21,29.70610710404024,0.5181455703829467,-0.8293576765932186,1.0471736309072477,0.51295799821269,29.70610710404024
8,23,15.005407432300954,0.3957286054608067,-0.8937663948145771,0.8887507942536116,0.5119825708061002,15.005407432300954
8,25,29.97525945269636,0.519832199465655,-0.8264043434836336,1.0488122607584403,0.5140721196130167,29.97525945269636
8,27,26.50310778072122,0.49697220559533895,-0.8590490713981096,1.0109121437239776,0.5136897001303781,26.50310778072122
8,29,20.187131267088073,0.44763839926048954,-0.8862519734471302,0.9501162465889437,0.5161987041036717,20.187131267088073
10,1,71.63782031090874,0.6919039938544937,-0.6243992704020598,1.3808413337179062,0.5147147147147147,71.63782031090874
10,3,78.60052245256605,0.711333801612356,-0.6432710841186854,1.3903229057336681,0.5195627157652474,78.60052245256605
10,5,60.16805004159916,0.6559503960771409,-0.6339222180686547,1.2903328607229896,0.5237020316027088,60.16805004159916
10,7,51.48062013115653,0.624465318619855,-0.7256979113043794,1.2710091748678718,0.514207650273224,51.48062013115653
10,9,70.29228697259612,0.6879593793354764,-0.704328494107956,1.3335350630716185,0.5222520107238606,70.29228697259612
10,11,42.5683738472435,0.5868919996281099,-0.7406800357124242,1.181717453451111,0.516010498687664,42.5683738472435
10,13,48.00579902988128,0.6105500467570277,-0.7250718270098353,1.2299472505951197,0.5150727650727651,48.00579902988128
10,15,33.502559599651136,0.5407898992538467,-0.7782748489649427,1.1025051135568413,0.5168986083499006,33.502559599651136
10,17,39.711213841701905,0.5733771502308891,-0.7629761792357682,1.1457485314661533,0.5133663366336634,39.711213841701905
10,19,37.558933671906075,0.5626212633722276,-0.8094457402260056,1.1238528274179738,0.5152690256907416,37.558933671906075
10,21,46.31472307451722,0.6034555423925316,-0.7584115217228548,1.2024504108424057,0.5169034786869182,46.31472307451722
10,23,17.88648778483655,0.4262347987995876,-0.8005913500067801,0.9434896636422111,0.5114861697140178,17.88648778483655
10,25,41.75544998543764,0.5831297487661113,-0.789602918135772,1.1414398789563587,0.5176470588235295,41.75544998543764
10,27,16.541557861013196,0.41257594923982155,-0.8765573083904336,0.9189717916650296,0.5143518518518518,16.541557861013196
10,29,21.521657436267933,0.459091495116978,-0.8688995121433213,0.9714146099257613,0.5156889495225102,21.521657436267933
12,1,101.16262948052628,0.765331568194547,-0.5382316652801002,1.5205019189685498,0.5118210862619809,101.16262948052628
12,3,96.09269906105868,0.7541931335226517,-0.5908733819709169,1.4817948970612547,0.5164634146341464,96.09269906105868
12,5,72.9325439406379,0.6956387882739443,-0.5724121665722225,1.3764253815012477,0.5182567726737338,72.9325439406379
12,7,42.17668831576003,0.5850871992163296,-0.5760503872474578,1.2113306100292485,0.5136986301369864,42.17668831576003
12,9,47.911130867020184,0.610158725938563,-0.5674889987939536,1.2264402982110472,0.5215175537938845,47.911130867020184
12,11,51.39242381338216,0.6241224590687819,-0.6328886897626095,1.248992519388317,0.5169350360910605,51.39242381338216
12,13,54.36442980802884,0.6354017208567213,-0.6410761594229853,1.263351926846623,0.5182760501909438,54.36442980802884
12,15,48.71152445358027,0.61344609823199,-0.6395965069480734,1.2119730034663319,0.5180912427897221,48.71152445358027
12,17,66.16735145006578,0.6754396670589213,-0.5821630055797067,1.2948040536775414,0.5165118679050568,66.16735145006578
12,19,52.441273052711225,0.6281668315436775,-0.5509267863220535,1.2280057134776656,0.5168884339815762,52.441273052711225
12,21,46.94384248591077,0.6061209967962131,-0.6770223237866327,1.2120350266138826,0.5177125506072875,46.94384248591077
12,23,25.388406309994764,0.48907456587291764,-0.7009781992791879,1.0373115168325837,0.518555667001003,25.388406309994764
12,25,44.31733421349555,0.5947772795507302,-0.7671538405733987,1.1603364325577545,0.5190311418685121,44.31733421349555
12,27,40.9343074904252,0.579263681135626,-0.7141061518236688,1.1543412925250338,0.5192497532082923,40.9343074904252
12,29,56.387423848747396,0.6427739032220465,-0.6024658483926482,1.2269037406451546,0.5230084116773874,56.387423848747396
14,1,65.58468908181753,0.6736163697099757,-0.4580822807314326,1.4453677842765087,0.5125874125874126,65.58468908181753
14,3,63.88361037349501,0.6682107904217529,-0.5581477051946234,1.4099699429658339,0.5234899328859061,63.88361037349501
14,5,85.63182538180106,0.7294794470795634,-0.5503216936277806,1.474784468102179,0.524390243902439,85.63182538180106
14,7,45.52892974094416,0.6000813329665882,-0.5972160426563629,1.2839433894779442,0.5191462649089768,45.52892974094416
14,9,83.53558527308118,0.7242107615797317,-0.5543945201312749,1.4629017273273572,0.5272614622057001,83.53558527308118
14,11,47.8691397747897,0.6099849342253973,-0.6304749463043585,1.2726609835666758,0.5211940298507463,47.8691397747897
14,13,55.564137099057696,0.6398021266470482,-0.5128293914109239,1.321265677806627,0.5205640423031728,55.564137099057696
14,15,44.76644477352351,0.5967580337763962,-0.6470348291984809,1.2369192524384829,0.5163841807909605,44.76644477352351
14,17,41.92801911264119,0.5839337440138455,-0.6567437538813083,1.209466830031598,0.5211984171848502,41.92801911264119
14,19,51.679421071109395,0.6252362640105076,-0.5552797510562686,1.305247431211726,0.521862578080636,51.679421071109395
14,21,64.74672100967167,0.6709690935565154,-0.5202347368963478,1.3507653463711267,0.5209848908785675,64.74672100967167
14,23,24.31092114809902,0.48114609918971474,-0.6057259683193363,1.0468109669008097,0.5182992465016146,24.31092114809902
14,25,64.29722900014106,0.6695366716265789,-0.6379007615720469,1.312561722103774,0.5260273972602739,64.29722900014106
14,27,35.06371379565833,0.5494530222306189,-0.6532959596795143,1.1623574263264393,0.5279159756771697,35.06371379565833
14,29,37.09193121889206,0.5602162806096855,-0.7257077835432737,1.16763895721417,0.5226537216828478,37.09193121889206
16,1,39.326332167120874,0.5714918852113797,-0.43250992097916446,1.4188012616285466,0.5065134099616858,39.326332167120874
16,3,32.07516598970662,0.5325534747437959,-0.5079086078775842,1.305764156587905,0.5124450951683748,32.07516598970662
16,5,27.849138782360875,0.5061295119981744,-0.5125130952363444,1.243070657657965,0.5132496513249651,27.849138782360875
16,7,17.289860356323036,0.42029076527111475,-0.6255160842278614,1.0639305978048277,0.5155405405405405,17.289860356323036
16,9,33.50299555974013,0.5407923674653232,-0.5271472010435878,1.2799606432262294,0.5190635451505017,33.50299555974013
16,11,21.461575109288383,0.45858943187710377,-0.6108254728650478,1.1144703804524836,0.5200258397932817,21.461575109288383
16,13,32.72397614861296,0.5363363032024373,-0.5012662138583134,1.2516428794973893,0.523153942428035,32.72397614861296
16,15,16.564242448171754,0.4128142788336009,-0.6439447532948769,1.0244663168466583,0.5135623869801085,16.564242448171754
16,17,33.29496476062117,0.539611377684335,-0.5764151631657274,1.2257609740865552,0.5260922330097088,33.29496476062117
16,19,25.8121963927773,0.4921122832042921,-0.5946733683816978,1.1512466736170353,0.5225225225225225,25.8121963927773
16,21,17.516168092039873,0.42256627478136943,-0.6670957007603906,1.0313180901290098,0.5179814385150812,17.516168092039873
16,23,12.05348801428318,0.3585932740237521,-0.711605527630773,0.8983014189575899,0.5195467422096317,12.05348801428318
16,25,21.61521783087555,0.4598708678479244,-0.7599173085832719,1.0744156283591022,0.5240301100173712,21.61521783087555
16,27,26.340360115650782,0.4958375172545748,-0.6153179117541467,1.15689330841097,0.5213431986340353,26.340360115650782
16,29,39.508642157476444,0.5723869011545573,-0.5913488127852286,1.26801817815846,0.522083805209513,39.508642157476444
18,1,31.715459778415887,0.5304272334528213,-0.4304670989982472,1.4437519192084425,0.49081364829396323,31.715459778415887
18,3,20.017559991393707,0.44613589599321357,-0.501386998141856,1.2214298295271802,0.49836065573770494,20.017559991393707
18,5,29.62307198546939,0.5176225302403685,-0.48196061417072944,1.3262906173098374,0.5143745143745144,29.62307198546939
18,7,16.594464735446923,0.4131313570009356,-0.5910317437380261,1.0841222461696425,0.5138686131386861,16.594464735446923
18,9,18.085058473503512,0.42817456467805814,-0.5223542097235239,1.1202977854886682,0.5114613180515759,18.085058473503512
18,11,10.923016554357034,0.342221767182058,-0.6397101573004546,0.9349919798066499,0.5151098901098901,10.923016554357034
18,13,12.82188020855166,0.36896848149481976,-0.5751527211273004,0.9765079654567645,0.5138339920948617,12.82188020855166
18,15,19.95070778535234,0.44554047631972415,-0.6811833032993775,1.1291810251407974,0.5140798952193845,19.95070778535234
18,17,31.359695817972174,0.5283033921318478,-0.5723615887614929,1.255786473554121,0.5238718116415958,31.359695817972174
18,19,25.11787349241851,0.4871120575620169,-0.5735283779277676,1.1974547440918955,0.5186615186615187,25.11787349241851
18,21,18.411913565076237,0.431327193932179,-0.6267532107287465,1.0707919343840098,0.5206662553979026,18.411913565076237
18,23,10.797126909131794,0.3403077347386527,-0.6385859619722966,0.8916810557371908,0.514475271411339,10.797126909131794
18,25,23.12088698183338,0.4720230394504894,-0.5894813763220749,1.1363869663259083,0.5220277610138805,23.12088698183338
18,27,12.940609597296735,0.3705227140961864,-0.6613899943959853,0.9482803977540638,0.5163593099345628,12.940609597296735
18,29,17.700919635908498,0.4244049046451588,-0.6880163008347646,1.039931026494537,0.5169442848937392,17.700919635908498
20,1,20.353651228598444,0.44910313407709035,-0.27809041609275476,1.4176037989646266,0.43207126948775054,20.353651228598444
20,3,13.379980146379244,0.37616762951692273,-0.3363158623634811,1.1815742552358037,0.4583333333333333,13.379980146379244
20,5,20.05213315140863,0.44644313834315286,-0.4564843780069915,1.2890754372894722,0.48789237668161434,20.05213315140863
20,7,25.32649854138216,0.4886270961966592,-0.4185026946092809,1.3108583181417874,0.5004219409282701,25.32649854138216
20,9,11.04745653841179,0.34409484140565816,-0.5766332253483242,1.0011332318578507,0.4944794952681388,11.04745653841179
20,11,11.346091486118501,0.34851552334976743,-0.6097899452392574,0.9892443973637757,0.5,11.346091486118501
20,13,9.826611320620767,0.3248570442861425,-0.5872444659967101,0.925861719725384,0.5043290043290043,9.826611320620767
20,15,15.234144800859323,0.39833043103745513,-0.6555237339084291,1.0515618605448618,0.511794138670479,15.234144800859323
20,17,11.704433256005057,0.35368732312380824,-0.5684500027840618,0.9550899693372191,0.5037593984962406,11.704433256005057
20,19,12.00127200087832,0.35786736958823084,-0.6184154896890561,0.9596059886094257,0.5109489051094891,12.00127200087832
20,21,11.157111046223124,0.34573009209201633,-0.6542254105961136,0.9327634728811519,0.5053547523427041,11.157111046223124
20,23,8.061265463397424,0.2929507855118616,-0.7006648915128778,0.8169145818738446,0.5082070707070707,8.061265463397424
20,25,6.852972554727953,0.26736050559556435,-0.6942882636941092,0.7821718048818548,0.5094221105527639,6.852972554727953
20,27,8.123294692298181,0.29417142438899435,-0.7195282899925587,0.8273052774914277,0.5109034267912772,8.123294692298181
20,29,16.92191009980697,0.41653468084887746,-0.7741020167765185,1.040536325439909,0.514426028238183,16.92191009980697
